CMDLINE /home/tiziano/code/AI/.venv/bin/python neat.py
MEM 0.574219 1700433595.1338
MEM 45.398438 1700433595.2340
MEM 204.636719 1700433595.3344
MEM 235.570312 1700433595.4346
MEM 307.500000 1700433595.5349
MEM 328.562500 1700433595.6352
MEM 343.910156 1700433595.7355
MEM 358.789062 1700433595.8357
MEM 368.386719 1700433595.9360
MEM 376.121094 1700433596.0363
MEM 390.632812 1700433596.1366
MEM 401.484375 1700433596.2368
MEM 405.609375 1700433596.3371
MEM 409.734375 1700433596.4374
MEM 414.117188 1700433596.5377
MEM 417.984375 1700433596.6380
MEM 422.367188 1700433596.7382
MEM 427.007812 1700433596.8385
MEM 430.617188 1700433596.9389
MEM 435.000000 1700433597.0392
MEM 439.382812 1700433597.1395
MEM 444.023438 1700433597.2398
MEM 449.179688 1700433597.3401
MEM 454.335938 1700433597.4404
MEM 460.265625 1700433597.5407
MEM 466.453125 1700433597.6410
MEM 472.898438 1700433597.7412
MEM 478.828125 1700433597.8415
MEM 485.015625 1700433597.9417
MEM 491.460938 1700433598.0420
MEM 497.390625 1700433598.1424
MEM 503.578125 1700433598.2426
MEM 510.023438 1700433598.3429
MEM 516.468750 1700433598.4432
MEM 522.140625 1700433598.5436
MEM 528.070312 1700433598.6438
MEM 534.000000 1700433598.7441
MEM 536.062500 1700433598.8444
MEM 540.703125 1700433598.9447
MEM 547.921875 1700433599.0450
MEM 555.398438 1700433599.1453
MEM 562.875000 1700433599.2456
MEM 570.093750 1700433599.3458
MEM 576.796875 1700433599.4461
MEM 584.531250 1700433599.5464
MEM 592.265625 1700433599.6467
MEM 599.742188 1700433599.7470
MEM 607.218750 1700433599.8473
MEM 614.695312 1700433599.9476
MEM 621.656250 1700433600.0479
MEM 628.617188 1700433600.1482
MEM 636.093750 1700433600.2485
MEM 643.570312 1700433600.3488
MEM 651.046875 1700433600.4491
MEM 658.781250 1700433600.5494
MEM 666.000000 1700433600.6497
MEM 673.734375 1700433600.7500
MEM 681.726562 1700433600.8503
MEM 690.234375 1700433600.9506
MEM 697.453125 1700433601.0509
MEM 705.960938 1700433601.1512
MEM 714.468750 1700433601.2515
MEM 722.718750 1700433601.3518
MEM 729.937500 1700433601.4521
MEM 737.414062 1700433601.5524
MEM 744.890625 1700433601.6527
MEM 751.851562 1700433601.7530
MEM 760.359375 1700433601.8532
MEM 768.351562 1700433601.9535
MEM 776.601562 1700433602.0538
MEM 785.109375 1700433602.1541
MEM 788.460938 1700433602.2544
MEM 792.585938 1700433602.3547
MEM 800.062500 1700433602.4550
MEM 807.539062 1700433602.5553
MEM 814.757812 1700433602.6556
MEM 821.976562 1700433602.7559
MEM 828.937500 1700433602.8562
MEM 836.671875 1700433602.9565
MEM 845.179688 1700433603.0568
MEM 853.687500 1700433603.1570
MEM 861.937500 1700433603.2573
MEM 869.414062 1700433603.3576
MEM 876.632812 1700433603.4579
MEM 884.367188 1700433603.5582
MEM 891.843750 1700433603.6585
MEM 899.320312 1700433603.7588
MEM 906.796875 1700433603.8591
MEM 914.273438 1700433603.9593
MEM 921.492188 1700433604.0596
MEM 928.710938 1700433604.1599
MEM 936.187500 1700433604.2602
MEM 944.953125 1700433604.3605
MEM 953.460938 1700433604.4608
